teacher,learner
прекратить,прекращать
принимать,принять
продолжить,продалжать
соединиться,соединяться
увидеть,видеть
увидеть,видеть
поговорить,говорить
сделать,делать
сделать,делать
поделиться,делиться
поиграть в,играть
покупать,купить
оставаться ,остаться
написать,писать
описать,писать
написать,писать
выпить,пить
показывать,показать
услышать,слышать
"потанцевать,",танцевать
знать,узнать
поучаствовать,участвовать
вернуться,возвращаться
выходить,выйти
поймать,ловить
отдохнуть,отдыхать
отдохнуть,отдыхать
отдохнуть,отдыхать
отдохнуть,отдыхать
переезжать,переехать
переезжать,переехать
предложить,предлагать
проводить,провести
проводить,провести
проводить,провести
развестись,разводиться
говорить,сказать
стать,становиться
уезжать,уехать
решать,решить
окончить,оканчивать
описать,описывать
подчеркнуть,подчеркивать
подчеркнуть,подчёркивать
рассказать,рассказывать
спросить,спрашивать
увеличить,увеличивать
обнять,обнимать
"понять,",понимать
"понять,",понимать
съесть,есть
советовал,посоветовал
вспомнить,вспоминать
выразить,выражать
достичь,достигать
обсудить,обсуждать
оживить,оживлять
поднимать,поднять
помочь,помогать
помочь,помогать
помочь,помогать
поступить,поступать
привлечь,привлекать
решить,решать
спасти,спасать
укрепить,укреплять
уменьшить,уменьшать
увидеть ,ведеть
увидеть,видеть
увидеть,видеть
поговорить,говорить
подготовиться,готовиться
сделать,делать
сделать,делать
сделать,делать
сделать,делать
пожить,жить
покупать,купить
пообедать,обедать
заплатить,платить
попить,пыть
порадовать,радовать
развивать,развить
развивать,развить
отремонтировать.,ремонтировать
сдавать,сдать
услышать,слышать
знать,узнать
научить,учить
вернуться,возвращаться
выйти,выходить
избежать,избегать
изменять,изменить
оставлять,оставить
решать,решить
решать,решить
улучшать,улучшить
доказать,доказывать
заработать,зарабатывать
заняться,заниматься
понять,понимать
принять,принимать
смотреть,посмотреть
узнал,узнавал
включить,включать
возникла,возникала
воспринимать,воспринять
было бы вспомнить,вспоминать
выразить,выражать
выразить,выражать
выразить,выразать
достичь,достигать
достичь,достигать
достичь,достигать
Назначить,Назначать
обручились,обручались
обсудить,обсуждать
обсудить,обсуждать
обсудить,обсуждать
обсудить,обсуждать
обсудить,обсуждать
обсудить,обсуждать
объяснить,объяснять
определить,определять
определить,определять
отличиться от,отличатся
помочь,памагать
помочь,помогат
помочь,помогать
помочь,помогать
понимать,понять
посетить,посещать
посетить,посещать
пригласил,приглашал
принимать,принять
продолжить,продолжать
продолжил,продолжать
развлечься,развлекаться
согласиться,соглашаться
убедить,убеждать
убедят,убеждать
удерживается ,удержаться
ускорить,ускорять
забронировать,бронировать
увидеть,видеть
увидеть,видеть
вывешивать,вывесить
вызывать,вызвать
выкапывать,выкопать
высказывать,высказать
высказывать,высказать
поговорить,говорить
сказать,говорить
приготовить,готовить
погулять,гулять
сделать,делать
сделать,делать
сделать,делать
сделать,делать
сделать,делать
подружиться,дружиться
подумать,думать
подумать,думать
подумать,думать
пожениться,жениться
позавтракал,завтракал
позавтракала,завтракала
узнать,знать
узнать,знать
проконтролировать,контролировать
покупать,купить
покупать,купить
покупать,купить
покупать,купить
покупать,купить
покупать,купить
помыть,мыть
помыть,мыть
начинать,начать
пообедать,обедать
описывать,описать
описывать,описать
опаздывать,опоздать
осваивать,освоить
оставаться,остаться
оставаться ,остаться
оставаться ,остаться
открывать,открыть
открывать,открыть
переписывать,переписать
напечатать,печатать
напечатать,печатать
написать,писать
прерывать,прервать
придумывать,придумать
попросить,просить
попутешествовать,путешествовать
попыталась,пыталась
попытаться,пытаться
развивать,развить
развивать,развить
сдавать,сдать
послушать,слушать
"услышать то,",слышать
посмотреть,смотреть
Посмотрите,Смотрите
создавать,создать
создавать,создать
спрашивать.,спросить
спрашивать,спросить
спрашивать,спросить
постараться,стараться
"потанцуем...""",танцевать
убивать,убить
узнавать,узнать
упаковывать,упаковать
устанавливать,установить
научить,учить
научитесь,учиться
сформировать,формировать
очистить,чистить
выбирать,выбрать
 помочь ,помоготь
помогать,помочь
вложить,вкладывать
избежать,избегать
найти,находить
перевести,переводить
перевести.,переводить
попадать,попасть
послать,посылать
предложить,предлагать
приходит,прийти
приходит,прийти
провести,проводить
говорить,сказать
говорить,сказать
становиться,стать
становиться,стать
увозят,увести
уехать,уезжать
начать,начинать
начать,начинать
выбрать,выбирать
выбрать,выбирать
выбрать,выбирать
собрать,собирать
включать,включить
вспоминать,вспомнить
встречаться,встретиться
добавлять,добавить
добавлять,добавить
замечать,заметить
заставляют,заставят
изготовлять,изготовить
изменить,изменять
изучать,изучить
изучать,изучить
обращали,обратить
обсуждают,обсудить
объяснять,объяснить
объяснять,объяснить
определять,определить
оставляет,оставить
перемещаться,переместить
повторять,повторить
повторять,повторить
повторять,помнить
посвящать,посвятить
появляется,появится
приглашать,пригласить
примерять,примерить
разделять,разделить
расслабляется,расслабится
решать,решить
решает,решить
соединять,соединить
сохранять,сохранить
сохранять,сохранить
уверять,уверить
улучшать,улучшить
вызвали,вызывал
договориться,договариваться
закрыть,закрывать
назвать,называть
описать,описывать
описать,описывать
остановиться,останавливаться
поддержать,поддерживать
подпишет,подписывает
показать,показывать
"показать, ",показывать
"предсказать,",предсказывать
прервать,прерывать
расскажу,рассказиваю
рассмотреть,рассматрывать
спросить,спрашивать
увеличиться,увеличиваться
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
понять,понимать
принять,принимать
делать,cделать
съесть,есть
платить,заплатить
писать,написать
готовятся,подготовятся
думаю,подумаю
знакомятся,познакомятся
идут,поидёт
красят,покрасиют
мыть,помыть
нравились,понравилась
нравилось,понравилось
нравился,понравился
пытался,попытался
пытаются,попытаются
смотрела,посмотрела
смотрю,посмотрю
теряет,потеряет
чистим,почистаем
шли,пошли
попросила,просил
читать,прочитать
бужу,разбужу
сердились,рассердились
делает,сделает
делать,сделать
дeлать,Сделать
делать,сделать
делать,сделать
делаю,сделаю
делаю,сделаю
делают,сделают
могла,смог
формулирует,сформулирует
видел,увидел
пошёл,шёл
кричит,крикнует
подчеркивает,подчеркнет
подчеркивает,подчеркнует
забудет,забывает
забыли,забывали
задать,задавать
сдают,задают
издала,издавала
оделся,одевался
мыть,помыть
подумай,думай
Позвони,Звони
Постарайтесь,Старайтесь
посчитайте ,считайте
пошлите,посылайте
станете,становите
зассказала,рассказывала
вдадимся,вдаваемся
смогут,могут понимать
сможем,можем
сможем,можем
сможем,можем
сможет,может
понять,понимает
показаться,показываться
сажать,посадить
может,сможет
прийти,приходит
выключать,выключить
идти,пойти
читать,прочитать
поговорить,говорит
поговорить,говорит
понравиться,нравятся
нарисовал,рисовал
делает,сделает
слышать,услышать
вскакивает,выскочит
допустите,допускайте
исчезнет,исчезает
кончится,кончает
наступит,наступает
обмениваемся,обменяемся
поднимаюсь,поднимусь
получишь,получаешь
получить,получат
получить,получат
получили,получают
помогут,помогают
принимайте,примите
продолжите,продолжаете
продолжу,продолжаю
рассказывает,расскажет
решу,решаю
состоит,составляется
они справятся,справляются
сбережём,бережём
увидеть,видит
вспоминает,вспомнит
встаю,встану
встаю,встану
встану,встаю
выигрывает,выиграет
высказываю,выскажу
поговорим,говорим
гулять,гуляют
сделает,делает
сделают,делает
подумайте,думаете
думайте,думаете
заканчивается,закончится
зарабатываю,заработаю
пойдем,идём
окончат,кончат
покупаю,куплю
покупаю,куплю
покупают,купят
покупают,купят
покупают,купят
смогу,могу
смогу,могу
смогу,могу
смогут,могут
сможем,можем
сможем,можем
сможет,может
сможет,может
сможете,можете
оказывают наибольшее влияние,наиболее   влияние   окажут
напоминает,напомнит
оказываются,окажутся
напишу,опишу
опаздываю,опоздаю
опаздываю.,опоздаю.
оспаривает,оспорит
открывается,откроется
открываю,открою
перестают,перестанут
дарят,"подарят,"
показывают,покажут
приодевается,приоденется
проигрывает,проиграет
поработаю,работаю
разрабатывают,разработают
рассказываю,расскажу
делает,сделает
"смешиваются,",смешаются
спрашивает,спросит
спрашивайте,спросите.
спрашиваю,спрошу
постараюсь,стараюсь
"Потанцуем,",Танцуем
Потанцуем?,Танцуем
"Потанцуем, ","Танцуем,"
сумеешь,умеешь
успевает,успеет
успеваю,успею
успеваю,успею
успеваю,успею
захотят,хотят
захочет,хочет
захочу,хочу
почувствуете,чувствуете
помогает,поможет
помогает,поможет
помогают коже.,поможет   кожи.
возьму,беру
возвращается,вернется
возвращается,вернётся
возвращается,вернётся
возвращается,вернуется
возвращаюсь,вернусь
возвращаются,вернутся
возвращаюсь,вернуюсь
возвращаюсь,вернуюсь
входят,воидут
выбегаем,выбежим
выезжает,выедет
выезжаю,выеду
выходит,выидет
выходят,выйдут
подходит,доидет
ложусь,лягу
находит,найдет
находит,найдёт
находите,найдёте
нахожу,найду
нахожу,найду
нахожу,найду
обходит,обоидет
отбегает,отбежит
подходят,подойдут
кладет,положит
предлагает,предложит
приходят,придёт
приезжает,приедет
приезжает,приедет
приезжает,приедет
приезжают,приедут
приходит,приидёт
приходит.,приидёт
прихожу,прииду
приходят,приидут
приходят,прийдут
приносят,принесут
принесет,приносит
придёт,приходит
проезжают,проедут
сбегают,сбегут
говорят,скажут
становятся,станут
становятся,станут
становятся,станут
 убегает,убежит
уезжают,уедут
уходит.,уидёт
уходит,уидёт
уходит,уидёт.
падает,упадёт
падает,упает
уйдет,уходит
начнём,начинаем
начали,начинает
бросает,бросит
включает,включит
вспоминает,вспомнит
встречаемся,встретимся
встречаемся,встретимся
встречаемся,встретимся
встречаемся,встретимся
встречают,встретят
договариваются,договорятся
изучает,изучит
кончает,кончит
кончается,кончится
облегчает,облегчит
обращают,обратят
обращают,обратят
объясняет,обьяснит
отражает,отразят
", отражает",отразят
говорит,поговорит
готовят,подготовят
позволяли,позволят
предъявляют,предъявят
приближается,приблизится
приглашают,пригласят
приготовля́ют,приготовлят
решает,решит
решает ,решит
решают,решят
совершают,совершят
сообщает,сообщит
видят,удивят
видят,удивят
расскажите,Рассказывайте
расскажу,рассказываю
спросим,спрашиваем
спросят,спрашивают
спросите,срашаваете
обнимемся,обнимаем
моется,вымоется
заболевают,заболят
позаботимся,заботимся
смеются,засмеются
пишет,напишит
учат,научат
характеризует,охарактеризует
обедаю,победаю
кому верите ,поверите
говорить,поговорить
гулять,погулять
думал,подумал
посещать,поетить
жили.,пожили
идет,пойдет
идет,пойдёт
иду,пойду
иду,пойду
иду,пойду
идут,пойдут
идут,поидят
идти,пойти
купила,покупала
купить,покупать
пытался,попытался
служат,послужат
старались,постарались
стараюсь,постараюсь
строил,построил
строилось,построилось
теряют,потеряют
толстеют,потолстают
учиться,поучиться
хвалить,похвалить
себя чувствую,почувствую
шла,пошла
являлась,появилась
делал,сделал
делают,сделают
делают,сделают
садиться,сесть
кручу,скручу
могут,смогут
лгут,солгут
видел,увидел
поужинали,ужинали
отдыхаю,отдохну
отдыхаю,отдохну
отдыхать,отдохнуть
упоминали,упомянули
встала,бстабала
забывать,забыть
оденутся,одеваются
останется,остаётся
перегреться,перегреваться
узнаете,узнаёте
дала,давала
смогла,могла
мог бы пойти,он мог бы идти
посмотреть,смотреть
прочитать,читать
ограничить,ограничивать
делать,сделать
спасать,спасти
задать,задавать
страдать,пострадать
делать,сделать
встретить,встречать
захотела,хотела
захотели,хотели
прочитать,читать
прочитать,читать
сосредоточиться,сосредоточиваться
мешать,помешать
попробовать,пробовать
проверил,проверял
сварила,варила
помыла,мыла
помогали,помогли
собралась,собиралась
прочитать,читать
дать,давать
бросил,бросал
встретил,встречал
встретил,встречал
встретила,встречала
встретила,встречала
встретила,встречала
встретила,встречали
выросло,вырастало
достиг,достигал
достигли,достигали
достигли,достигали
заключил,заключал
заметил,замечал
заметил,замечал
заметила,замечала
я заметила,замечала
защищали,защитили
изобрели,изобретали
исчезли,исчезали
называли,назвали
"объяснила,",объясняла
объяснила,обясняла
отказывался,оказался
казалось,показалось
получил,получал
помогла,помогал
помогла,помогала
помогли,помогали
помогло,помогало
понимала,понила
понимал,понял
понимала,поняла
понимали,поняли
поразил,поражал
поступила,поступала
поступила,поступала
появлялись,появились
предложил,предлагал
предложила,предлагала.
предложили,предлагали
предпочли,предпочитали
предложил,предупреждал
переступила,преступала
привлекло,привлекало
прилетел,прилетал
принимал,принял
продолжил,продолжал
продолжил,продолжал
продолжил,продолжал
продолжил,продолжал
продолжил,продолжал
продолжила обучение,продолжала
продолжили,продолжали
разрешил,разрешал
рассказывала,рассказала
решили,решали
сообщила,сообщала
справили,справляли
уверил,уверял
поужинала,ужинала
уменьшилось,уменьшалось
ухудшил,ухудшал
арестовывали,арестовали
поблагодврила,благодарила
побывал,бывал
побывали,бывали
увидел,видел
увидела,видела
увидела,видела
увидели,видели
увидели,видели
увидели,видели
увидели,видели
повлиял,влиял
повлиял,влиял
повлиял,влиял
повлияла,влияла
повлияла,влияла
повлияла,влияла
повлияли,влияли
своровал,воровал
воспитывала,воспитала
воспитывали,воспитали
выбирали,выбрали
выбирали,выбрали
поговорили,говорили
проголосовал,голосовал
проголосовал,голосовал
давал,дал
сделал,делал
сделал,делал
сделал,делал
сделала,делала
продиктовала,диктировала
договаривались,договорились
подумал,думал
подумала,думала
обдумала,думала
подумала,думала
подумала,думала
подумали,думали
пожалел,жалел
пожалела,жалела
пожелал,желал
прожил,жил
прожил,жил
прожила,жила
прожила,жила
прожила.,жила
позавтракал,завтракал
задавать,задать
заканчивали,закончили
заканчивалось,закончилось
позвонил,звонил
позвонил,звонил
позвонили,звонили
отзвонились,звонили
познакомилась,знакомилась
познакомился,знакомился
узнали,знали
заинтересовалась,интересовалась
заинтересовались,интересовались
показалось,казалась
показалось,казалась
"оказалось,","казалось,"
покупал,купил
покупала,купила
покушали,кушали
поменял,менял
смогла,могла
смогла,могла
вымыл,мыл
помыл,мыл
называли,назвали
унаследовал,наследовал
начинал,начал
начинала,начала
начинали,начали
понравился,нравился
понравился,нравился
понравился,нравился
понравились,нравился
одевалась,оделась
"оказывалось,",оказалась
опаздывал,опаздал
описывали,описали
осознавал,осознал
открылся,открывался
попарился,парился
переставала,перестала
написал,писал
написал,писал
написал,писал
написал,писал
написал,писал
написал,писал
написала,писала
показывал,показал
показывали,показали
посылал,послал
придумывали,придумали
признавали,признали
"признавали,",признали
продавала,продала
продавали,продали
попросил,просил
попросила,просила
попросила,просили
испугалась,пугалась
раздавали,раздали
сдавали,сдали
сдавали,сдали
сдавали,сдали
рассердилась,сердилась
послужила,служила
услышала,слышала
"услышала,",слышала
услышали,слышали
посмотрел,смотрел
посмотрел,смотрел
посмотрел,смотрел
поспал,спал
спрашивают,спросил
пострадали,страдали
утекла,текла
потратили,тратили
потребовалось,требовалось
убивали,убили
убивали ,убили
поужинал,ужинал
поужинал,ужинал
знала,узнала
умирал,умерли
успевала,успела
выучила,учила
научилась,училась
научили,учили
сформировались,формировались
похвалил,хвалил
похвастался,хвалился
захотелось,хотелось
почитал,читал
прочитал,читал
прочитала,читала
прочитать,читать
прочитать,читать
почувствовала,чувствовала
пошли,шли
сэкономило,экономило
помогал,помог
брали,взяли
вела,водила
вошел,входил
вошло,входил
вышел,выходил
вышел,выходил
выходил,вышел
догнала,догоняла
изгнали,изгоняли
изгнали,изгоняли
ложился,лёг
поймала,ловила
легла,ложилась
легла,ложилась
лег,ложился
напали,нападали
ждала,ожидала
переехали,переезжали
переезжали,переехали
перешла,переходила
перечитывала,перечитала
подбежал,подбегал
ловила,поймала
предложил,предлогал
предположила,предлогала
предположила,предлогала
предлагала,предложила
предполагали,предположили
приводил,привело
приходит,придет
принёс.,приносил.
пришла,приходила
пришли,приходили
пришли,приходили
пришли,приходили
приехали,приходили
пришлось,приходилось
приходили,пришли
приходили,пришли
проводила,провела
провела,проводила
провела,проводила
происходило,произошло
произошла,происходила
прошли,проходили
росло,растило
говорил,сказал
говорил,сказал
гооворит,сказал
говорила,сказала
говорили,сказала
говорили,сказали
становились,стали
становилось,стало
стал,становился
убежал,убегал
умер,умирал
умер,умирал
умер,умирал
умерла,умирала
умерли,умирали
падал,упал
ушел,уходил
ушла,уходила
прилетала,прилетела
начал,начинал
начал,начинал
начал,начинал
начал,начинал
начал,начинал
начал,начинал
начал,начинал
начал,начинал
начала,начинала
начала,начинала
начала,начинала
начала,начинала
начала,начинала
начала,начинала
начала,начинала
начала,начинала
началась,начинала
начала,начинала
начала,начинала
начала думать,начинала   подумать
началась.,начиналась
начали,начинали
начали,начинали
начали,начинали
началось,начиналось
началось,начиналось
начал,начинался
выбрал,выбирал
выбрал,выбирал
выбрал,выбирал
бросал,бросил
бросали,бросили
встречала,встретила
встречают,встретили
встречались,встретились
встречался,встретился
встретились,встречались
приготовил,готовил
приготовил,готовил
"приготовила,",готовила
заставлял,заставил
заявляли,заявили
изменялись,изменились
менялось,изменялось
обсуждали,обсудили
объясняли,объяснили
объясняли,объяснили
объясняли эти,объяснили
опускался,опустился
оставлял,оставил
оставляли,оставили
останавливались,остановились
останавливались,остановились
останавливались,остановились
"останавливалось,",остановилось
отвечал,ответил
отвечала,ответила
получал,получил
получал,получил
получал,получил
получал,получил
получал,получил
получал,получил
получала,получила
получала,получила
получали,получили
получали,получили
получали,получили
получалось так,получилось
посещала,посетела
посещала,посетела
посещала,посетила
посещала,посетила
посещали,посетили
поступал,поступил
проверяла,проверила
проявляли,проявили
расширялись,расширили
решали,решили
случалось,случилось
соглашались.,согласились
соединял,соединил
сохраняли,сохранили
являлась,явилась
являлся,явился
являлся,явился
вызвать,вызывать
заказала,заказивала
заказали,заказывали
звали,называли
обеспечило,обеспечивал
отбросил,отбрасывал
отказался,отказывался
показали,показывали
показали,показывали
привык,привлыкал
привык,привыкал
привыкли,привыкали
приукрасили,приукрашивали
рассказали,рассказывали
сосредоточилась,сосредоточивалась
спросили,спрашивали
усилил,усиливал
заняло,занимало
заняло,занимало
поднялась,поднималась
поднялись,поднималися
поднялись,поднималися
понял,понимал
понял,понимал
понял,понимал
понял,понимал
поняла,понимала
поняла,понимала
приняли,принимали
приняли,принимали
сняли,снимали
учила,выучила
съел,ел
позаботилась,заботилась
интересовался,заинтересовался
красит,накрасит
записывал,написал
учила его,научила
учился,научился
учить,научить
начала думать,начинала   подумать
думали,подумали
знакомиться,познакомиться
красят,покрасиют
купить,покупать
купить,покупать
нравился,понравился
нравился,понравился
нравится,понравится
обедаю,пообедаю
пытался,попытался
пытаться,попытаться
пытаюсь,попытаюсь
теряет,потеряет
теряет,потеряет
чувствую,почувсвтвую
чувствовать,почувствовать
появлялась,появилась
финны голосовали,проголосовали
смотреть,просмотреть
читал,прочитал
вырос,рос
делает,сделает
делали,сделали
делали,сделали
делали,сделали
делать,сделать
могу,смогу
могут,смогут
видела,увидела
уже видели,увидели
видит,увидет
пошел,шёл
пошла ,шла
кричит,крикнует
отдыхать,отдохнуть
встала,вставала
встала,вставала
выжили,выживали
дать,давать
переоделся,переодевался
сдать,сдавать
сдают,сдавают
дала,давала
